County,FIPS,States
Grand Traverse County, 26055 FIPS Code, Michigan
Gratiot County, 26057 FIPS Code, Michigan
Hillsdale County, 26059 FIPS Code, Michigan
Houghton County, 26061 FIPS Code, Michigan
Huron County, 26063 FIPS Code, Michigan
Ingham County, 26065 FIPS Code, Michigan
Ionia County, 26067 FIPS Code, Michigan
Iosco County, 26069 FIPS Code, Michigan
Iron County, 26071 FIPS Code, Michigan
Isabella County, 26073 FIPS Code, Michigan
Jackson County, 26075 FIPS Code, Michigan
Kalamazoo County, 26077 FIPS Code, Michigan
Kalkaska County, 26079 FIPS Code, Michigan
Kent County, 26081 FIPS Code, Michigan
Keweenaw County, 26083 FIPS Code, Michigan
Lake County, 26085 FIPS Code, Michigan
Lapeer County, 26087 FIPS Code, Michigan
Leelanau County, 26089 FIPS Code, Michigan
Lenawee County, 26091 FIPS Code, Michigan
Livingston County, 26093 FIPS Code, Michigan
Luce County, 26095 FIPS Code, Michigan
Mackinac County, 26097 FIPS Code, Michigan
Macomb County, 26099 FIPS Code, Michigan
Manistee County, 26101 FIPS Code, Michigan
Marquette County, 26103 FIPS Code, Michigan
Mason County, 26105 FIPS Code, Michigan
Mecosta County, 26107 FIPS Code, Michigan
Menominee County, 26109 FIPS Code, Michigan
Midland County, 26111 FIPS Code, Michigan
Missaukee County, 26113 FIPS Code, Michigan
Monroe County, 26115 FIPS Code, Michigan
Montcalm County, 26117 FIPS Code, Michigan
Montmorency County, 26119 FIPS Code, Michigan
Muskegon County, 26121 FIPS Code, Michigan
Newaygo County, 26123 FIPS Code, Michigan
Oakland County, 26125 FIPS Code, Michigan
Oceana County, 26127 FIPS Code, Michigan
Ogemaw County, 26129 FIPS Code, Michigan
Ontonagon County, 26131 FIPS Code, Michigan
Osceola County, 26133 FIPS Code, Michigan
Oscoda County, 26135 FIPS Code, Michigan
Otsego County, 26137 FIPS Code, Michigan
Ottawa County, 26139 FIPS Code, Michigan
Presque Isle County, 26141 FIPS Code, Michigan
Roscommon County, 26143 FIPS Code, Michigan
Saginaw County, 26145 FIPS Code, Michigan
Sanilac County, 26151 FIPS Code, Michigan
Schoolcraft County, 26153 FIPS Code, Michigan
Shiawassee County, 26155 FIPS Code, Michigan
St. Clair County, 26147 FIPS Code, Michigan
St. Joseph County, 26149 FIPS Code, Michigan
Tuscola County, 26157 FIPS Code, Michigan
Van Buren County, 26159 FIPS Code, Michigan
Washtenaw County, 26161 FIPS Code, Michigan
Wayne County, 26163 FIPS Code, Michigan
Wexford County, 26165 FIPS Code, Michigan
Adams County, 39001 FIPS Code, Ohio
Allen County, 39003 FIPS Code, Ohio
Ashland County, 39005 FIPS Code, Ohio
Ashtabula County, 39007 FIPS Code, Ohio
Athens County, 39009 FIPS Code, Ohio
Auglaize County, 39011 FIPS Code, Ohio
Belmont County, 39013 FIPS Code, Ohio
Brown County, 39015 FIPS Code, Ohio
Butler County, 39017 FIPS Code, Ohio
Carroll County, 39019 FIPS Code, Ohio
Champaign County, 39021 FIPS Code, Ohio
Clark County, 39023 FIPS Code, Ohio
Clermont County, 39025 FIPS Code, Ohio
Clinton County, 39027 FIPS Code, Ohio
Columbiana County, 39029 FIPS Code, Ohio
Coshocton County, 39031 FIPS Code, Ohio
Crawford County, 39033 FIPS Code, Ohio
Cuyahoga County, 39035 FIPS Code, Ohio
Darke County, 39037 FIPS Code, Ohio
Defiance County, 39039 FIPS Code, Ohio
Delaware County, 39041 FIPS Code, Ohio
Erie County, 39043 FIPS Code, Ohio
Fairfield County, 39045 FIPS Code, Ohio
Fayette County, 39047 FIPS Code, Ohio
Franklin County, 39049 FIPS Code, Ohio
Fulton County, 39051 FIPS Code, Ohio
Gallia County, 39053 FIPS Code, Ohio
Geauga County, 39055 FIPS Code, Ohio
Greene County, 39057 FIPS Code, Ohio
Guernsey County, 39059 FIPS Code, Ohio
Hamilton County, 39061 FIPS Code, Ohio
Hancock County, 39063 FIPS Code, Ohio
Hardin County, 39065 FIPS Code, Ohio
Harrison County, 39067 FIPS Code, Ohio
Henry County, 39069 FIPS Code, Ohio
Highland County, 39071 FIPS Code, Ohio
Hocking County, 39073 FIPS Code, Ohio
Holmes County, 39075 FIPS Code, Ohio
Huron County, 39077 FIPS Code, Ohio
Jackson County, 39079 FIPS Code, Ohio
Jefferson County, 39081 FIPS Code, Ohio
Knox County, 39083 FIPS Code, Ohio
Lake County, 39085 FIPS Code, Ohio
Lawrence County, 39087 FIPS Code, Ohio
Licking County, 39089 FIPS Code, Ohio
Logan County, 39091 FIPS Code, Ohio
Lorain County, 39093 FIPS Code, Ohio
Lucas County, 39095 FIPS Code, Ohio
Madison County, 39097 FIPS Code, Ohio
Mahoning County, 39099 FIPS Code, Ohio
Marion County, 39101 FIPS Code, Ohio
Medina County, 39103 FIPS Code, Ohio
Meigs County, 39105 FIPS Code, Ohio
Mercer County, 39107 FIPS Code, Ohio
Miami County, 39109 FIPS Code, Ohio
Monroe County, 39111 FIPS Code, Ohio
Montgomery County, 39113 FIPS Code, Ohio
Morgan County, 39115 FIPS Code, Ohio
Morrow County, 39117 FIPS Code, Ohio
Muskingum County, 39119 FIPS Code, Ohio
Noble County, 39121 FIPS Code, Ohio
Ottawa County, 39123 FIPS Code, Ohio
Paulding County, 39125 FIPS Code, Ohio
Perry County, 39127 FIPS Code, Ohio
Pickaway County, 39129 FIPS Code, Ohio
Pike County, 39131 FIPS Code, Ohio
Portage County, 39133 FIPS Code, Ohio
Preble County, 39135 FIPS Code, Ohio
Putnam County, 39137 FIPS Code, Ohio
Richland County, 39139 FIPS Code, Ohio
Ross County, 39141 FIPS Code, Ohio
Sandusky County, 39143 FIPS Code, Ohio
Scioto County, 39145 FIPS Code, Ohio
Seneca County, 39147 FIPS Code, Ohio
Shelby County, 39149 FIPS Code, Ohio
Stark County, 39151 FIPS Code, Ohio
Summit County, 39153 FIPS Code, Ohio
Trumbull County, 39155 FIPS Code, Ohio
Tuscarawas County, 39157 FIPS Code, Ohio
Union County, 39159 FIPS Code, Ohio
Van Wert County, 39161 FIPS Code, Ohio
Vinton County, 39163 FIPS Code, Ohio
Warren County, 39165 FIPS Code, Ohio
Washington County, 39167 FIPS Code, Ohio
Wayne County, 39169 FIPS Code, Ohio
Williams County, 39171 FIPS Code, Ohio
Wood County, 39173 FIPS Code, Ohio
Wyandot County, 39175 FIPS Code, Ohio
Adams County, 18001 FIPS Code, Indiana
Allen County, 18003 FIPS Code, Indiana
Bartholomew County, 18005 FIPS Code, Indiana
Benton County, 18007 FIPS Code, Indiana
Blackford County, 18009 FIPS Code, Indiana
Boone County, 18011 FIPS Code, Indiana
Brown County, 18013 FIPS Code, Indiana
Carroll County, 18015 FIPS Code, Indiana
Cass County, 18017 FIPS Code, Indiana
Clark County, 18019 FIPS Code, Indiana
Clay County, 18021 FIPS Code, Indiana
Clinton County, 18023 FIPS Code, Indiana
Crawford County, 18025 FIPS Code, Indiana
Daviess County, 18027 FIPS Code, Indiana
Dearborn County, 18029 FIPS Code, Indiana
Decatur County, 18031 FIPS Code, Indiana
DeKalb County, 18033 FIPS Code, Indiana
Delaware County, 18035 FIPS Code, Indiana
Dubois County, 18037 FIPS Code, Indiana
Elkhart County, 18039 FIPS Code, Indiana
Fayette County, 18041 FIPS Code, Indiana
Floyd County, 18043 FIPS Code, Indiana
Fountain County, 18045 FIPS Code, Indiana
Franklin County, 18047 FIPS Code, Indiana
Fulton County, 18049 FIPS Code, Indiana
Gibson County, 18051 FIPS Code, Indiana
Grant County, 18053 FIPS Code, Indiana
Greene County, 18055 FIPS Code, Indiana
Hamilton County, 18057 FIPS Code, Indiana
Hancock County, 18059 FIPS Code, Indiana
Harrison County, 18061 FIPS Code, Indiana
Hendricks County, 18063 FIPS Code, Indiana
Henry County, 18065 FIPS Code, Indiana
Howard County, 18067 FIPS Code, Indiana
Huntington County, 18069 FIPS Code, Indiana
Jackson County, 18071 FIPS Code, Indiana
